id,L,a,b,hex_srgb,in_srgb,slice_id
2,0.0,0.0,0.0,#000000,1,0
9,0.0625,1.75,-3.625,#010009,0,1
14,0.0625,3.0,-5.625,#02000E,0,1
17,0.0625,4.375,-7.875,#030012,0,1
20,0.0625,5.875,-10.375,#040016,0,1
24,0.0625,7.5,-13.0,#050019,0,1
27,0.0625,9.375,-15.875,#06001D,0,1
34,0.125,11.625,-19.625,#070021,0,2
38,0.125,14.5,-23.0,#090026,0,2
41,0.125,18.0,-26.375,#0C002A,0,2
45,0.1875,0.125,-2.125,#000106,0,3
62,0.1875,28.0,-34.875,#110035,0,3
66,0.25,1.875,0.25,#060000,0,4
67,0.25,3.0,-1.75,#070005,0,4
68,0.25,4.125,-3.875,#07000B,0,4
69,0.25,5.375,-6.125,#08000F,0,4
75,0.25,6.875,-8.25,#090013,0,4
88,0.25,33.5,-38.875,#13003B,0,4
92,0.25,39.0,-42.125,#16003F,0,4
95,0.3125,3.125,-9.0,#000014,0,5
102,0.3125,9.25,-11.875,#0C0018,0,5
112,0.375,-1.5,-0.125,#000302,0,6
114,0.375,0.375,-4.5,#00020C,0,6
117,0.375,1.5,-6.625,#000110,0,6
122,0.375,5.625,-14.125,#00001B,0,6
123,0.375,7.5,-16.875,#01001E,0,6
130,0.375,12.875,-17.5,#0E001F,0,6
133,0.375,20.875,-30.625,#0B0030,0,6
135,0.375,24.0,-29.5,#13002F,0,6
137,0.375,44.0,-45.875,#170045,0,6
139,0.375,50.25,-49.75,#1B004A,0,6
162,0.5,4.5,-0.25,#0D0003,0,8
167,0.5,11.75,-23.125,#030026,0,8
168,0.5,15.125,-26.5,#05002B,0,8
171,0.5,20.75,-25.0,#140029,0,8
174,0.5,56.25,-52.75,#1F004F,0,8
176,0.5,63.5,-58.125,#210057,0,8
190,0.5625,5.5,-2.5,#0D0008,0,9
194,0.5625,6.875,-4.75,#0E000E,0,9
197,0.5625,8.5,-7.0,#0F0012,0,9
199,0.5625,10.375,-9.5,#110016,0,9
213,0.625,3.75,-13.5,#00011B,0,10
218,0.625,12.375,-13.875,#11001B,0,10
224,0.625,76.125,-66.5,#270063,0,10
227,0.6875,-2.125,-2.125,#000408,0,11
229,0.6875,-1.125,-4.375,#00040D,0,11
231,0.6875,2.25,-11.25,#000218,0,11
240,0.6875,15.75,-16.75,#14001F,0,11
242,0.6875,32.5,-33.875,#1A0035,0,11
245,0.75,-3.125,0.125,#000502,0,12
248,0.75,0.625,-8.75,#000315,0,12
255,0.75,5.0,-16.75,#00001F,0,12
258,0.75,7.25,-19.875,#000023,0,12
261,0.75,9.0,-4.375,#13000D,0,12
262,0.75,10.75,-6.75,#140012,0,12
265,0.75,16.125,-20.125,#120023,0,12
285,0.8125,7.125,0.25,#130003,0,13
292,0.8125,82.25,-70.875,#29006A,0,13
312,0.875,88.75,-75.0,#2D0071,0,14
321,0.9375,15.375,-13.0,#17001B,0,15
324,0.9375,20.5,-19.75,#190023,0,15
327,0.9375,23.5,-23.375,#1A0028,0,15
329,0.9375,27.0,-37.75,#09003B,0,15
333,0.9375,94.125,-78.5,#2F0076,0,15
339,1.0,3.125,1.625,#0D0100,0,16
343,1.0,11.5,-26.25,#00002B,0,16
348,1.0,14.0,-8.375,#180015,0,16
350,1.0,16.375,-30.5,#000031,0,16
360,1.0625,-1.125,-8.25,#000615,0,17
363,1.0625,1.25,-13.125,#00041B,0,17
364,1.0625,2.75,-15.75,#00031E,0,17
367,1.0625,9.625,-0.25,#170005,0,17
375,1.0625,28.125,-28.375,#1B002F,0,17
379,1.0625,43.5,-40.25,#20003F,0,17
383,1.0625,101.75,-83.5,#33007E,0,17
385,1.125,-4.0,-2.125,#000709,0,18
387,1.125,-3.25,-4.125,#00070E,0,18
389,1.125,-2.25,-6.375,#000612,0,18
400,1.125,68.25,-62.125,#23005E,0,18
401,1.1875,-5.0,0.375,#000803,0,19
405,1.1875,-1.75,2.0,#020600,0,19
414,1.1875,5.0,-20.0,#000324,0,19
417,1.1875,12.5,-3.125,#1A000C,0,19
427,1.25,1.125,2.125,#0A0300,0,20
432,1.25,7.75,-23.625,#000129,0,20
434,1.25,17.875,-11.75,#1C001A,0,20
441,1.25,110.125,-89.125,#370087,0,20
444,1.3125,-0.875,-11.25,#000719,0,21
450,1.3125,10.375,2.25,#1A0000,0,21
459,1.3125,16.75,-8.125,#1C0015,0,21
463,1.3125,33.5,-29.5,#200031,0,21
464,1.3125,35.25,-44.0,#0A0044,0,21
465,1.3125,38.0,-34.125,#210037,0,21
476,1.375,4.875,2.25,#120100,0,22
484,1.375,21.0,-34.375,#030037,0,22
490,1.375,26.5,-22.0,#1F0027,0,22
501,1.4375,12.75,0.125,#1C0006,0,23
506,1.4375,16.125,-5.0,#1D0011,0,23
509,1.4375,41.125,-47.625,#0E004A,0,23
514,1.4375,119.0,-95.0,#3C0091,0,23
534,1.5,21.375,-13.5,#1F001D,0,24
535,1.5,22.0,-17.0,#1E0021,0,24
540,1.5625,-5.875,-2.0,#000A0A,0,25
541,1.5625,-5.125,-4.125,#000A0F,0,25
542,1.5625,-4.125,-6.625,#000A13,0,25
543,1.5625,-3.125,-8.875,#000916,0,25
546,1.5625,0.625,-16.25,#000720,0,25
548,1.5625,2.875,-19.5,#000524,0,25
570,1.5625,51.75,-45.125,#260047,0,25
572,1.625,-6.875,0.625,#000B04,0,26
588,1.625,7.125,2.625,#170000,0,26
605,1.625,52.75,-55.125,#150055,0,26
606,1.625,60.875,-51.25,#2A004F,0,26
610,1.625,124.25,-98.625,#3F0098,0,26
627,1.6875,12.625,-30.375,#000032,0,27
629,1.6875,14.125,2.875,#1F0000,0,27
631,1.6875,21.0,-9.875,#210019,0,27
648,1.75,5.125,-23.375,#000529,0,28
654,1.75,15.5,-0.25,#200008,0,28
659,1.75,30.875,-25.0,#22002C,0,28
664,1.8125,-6.0,2.875,#000B00,0,29
665,1.8125,-3.375,2.5,#010900,1,29
666,1.8125,-2.0,-13.625,#00091D,0,29
669,1.8125,-0.25,2.25,#090701,1,29
676,1.8125,8.125,-2.0,#15000C,1,29
683,1.8125,19.75,-6.625,#210014,0,29
690,1.8125,28.375,-18.875,#240024,0,29
694,1.8125,47.375,-38.875,#28003E,0,29
695,1.8125,57.875,-58.5,#18005A,0,29
754,1.9375,25.25,-40.125,#000040,0,31
760,2.0,-3.625,-12.125,#000B1B,0,32
776,2.0,18.375,-1.75,#22000C,0,32
778,2.0,26.375,-14.75,#24001F,0,32
782,2.0,31.25,-43.75,#000045,0,32
784,2.0,38.625,-29.375,#270032,0,32
789,2.0,47.0,-52.875,#0D0052,0,32
793,2.0,70.125,-57.375,#300059,0,32
796,2.0625,-8.0,-2.0,#000E0C,0,33
797,2.0625,-7.25,-4.25,#000D10,0,33
798,2.0625,-6.25,-6.75,#000D14,0,33
800,2.0625,-5.25,-9.25,#000C18,0,33
832,2.125,-9.0,0.875,#000E05,0,34
839,2.125,0.375,-19.625,#000A25,0,34
841,2.125,4.5,-11.25,#07051B,1,34
848,2.125,8.875,-28.875,#000531,0,34
880,2.1875,17.75,3.625,#240000,0,35
905,2.25,3.0,3.75,#120600,0,36
919,2.25,18.0,-34.875,#00003A,0,36
950,2.3125,25.5,-9.125,#260019,0,37
952,2.3125,33.375,-21.625,#280029,0,37
957,2.3125,76.375,-61.375,#340060,0,37
974,2.375,3.75,-25.0,#00092D,0,38
981,2.375,18.25,-15.25,#1C0020,0,38
983,2.375,19.625,1.375,#250006,0,38
984,2.375,21.75,-1.25,#26000D,0,38
985,2.375,23.875,-4.125,#270012,0,38
988,2.375,31.25,-16.75,#280022,0,38
995,2.4375,-3.375,-16.125,#000D21,0,39
997,2.4375,-1.75,-18.625,#000C24,0,39
1002,2.4375,1.5,-1.625,#0B080D,1,39
1006,2.4375,9.5,-18.5,#0A0324,1,39
1010,2.4375,13.125,-10.75,#18001B,0,39
1019,2.4375,63.625,-63.625,#180063,0,39
1020,2.4375,70.5,-67.625,#1D0069,0,39
1024,2.5,-10.0,3.625,#001000,0,40
1033,2.5,10.375,-14.625,#110220,1,40
1053,2.5625,-10.125,-1.875,#00100D,0,41
1054,2.5625,-9.375,-4.25,#001012,0,41
1055,2.5625,-8.375,-6.875,#001016,0,41
1056,2.5625,-7.375,-9.5,#000F19,0,41
1066,2.5625,-1.125,4.375,#0B0A00,0,41
1069,2.5625,0.375,4.375,#0F0900,0,41
1075,2.5625,9.375,4.375,#1C0200,0,41
1080,2.5625,17.25,-23.375,#13002B,0,41
1091,2.625,-8.0,4.375,#000F00,0,42
1093,2.625,-6.5,-12.0,#000F1C,0,42
1094,2.625,-5.25,-14.375,#000F1F,0,42
1100,2.625,6.125,4.375,#180400,0,42
1102,2.625,8.0,-10.0,#11041A,1,42
1104,2.625,12.125,4.5,#1F0000,0,42
1116,2.625,39.0,-49.875,#000050,0,42
1131,2.6875,-4.75,4.375,#020D00,0,43
1148,2.6875,15.125,-35.75,#00033C,0,43
1167,2.75,-11.75,2.125,#001104,0,44
1185,2.75,21.0,-28.25,#120032,0,44
1187,2.75,23.5,2.625,#290005,0,44
1191,2.75,28.5,-32.125,#180037,0,44
1192,2.75,40.375,-25.5,#2D002F,0,44
1194,2.75,49.25,-35.5,#2F003C,0,44
1197,2.75,77.875,-72.75,#210072,0,44
1205,2.8125,5.375,-4.375,#120613,1,45
1210,2.8125,12.875,-5.875,#1B0115,1,45
1251,2.875,24.0,-33.0,#0F0039,0,46
1258,2.875,29.625,-8.75,#2B001A,0,46
1276,2.9375,-0.125,-6.375,#030B16,1,47
1287,2.9375,7.75,-14.75,#0D0621,1,47
1300,2.9375,24.375,-26.875,#1A0031,0,47
1302,2.9375,27.25,-1.125,#2B000E,0,47
1304,2.9375,31.5,-12.75,#2B001F,0,47
1308,2.9375,43.375,-34.25,#2A003B,0,47
1309,2.9375,44.875,-30.375,#2F0035,0,47
1310,2.9375,54.75,-41.25,#300044,0,47
1312,2.9375,61.375,-46.5,#33004C,0,47
1314,2.9375,87.125,-68.5,#3B006C,0,47
1321,3.0,-2.875,4.875,#090D00,0,48
1326,3.0,3.0,-4.375,#0D0913,1,48
1335,3.0,20.625,-40.0,#000242,0,48
1344,3.0,38.5,-20.5,#2E0029,0,48
1349,3.0,112.75,-94.25,#370094,0,48
1358,3.0625,-3.5,-19.875,#000F27,0,49
1361,3.0625,0.375,-23.375,#000D2C,0,49
1369,3.0625,6.75,-30.5,#000A35,0,49
1382,3.0625,30.125,-5.375,#2D0016,0,49
1386,3.0625,37.5,-37.875,#1E0040,0,49
1395,3.125,-12.875,-0.375,#00130C,0,50
1404,3.125,-1.0,-2.375,#060C10,1,50
1408,3.125,1.5,-5.0,#0A0B14,1,50
1429,3.125,10.5,-3.75,#1A0413,1,50
1448,3.125,67.5,-51.5,#360053,0,50
1451,3.1875,-12.5,4.875,#001300,0,51
1452,3.1875,-12.25,-3.375,#001312,0,51
1453,3.1875,-11.375,-6.125,#001316,0,51
1454,3.1875,-10.375,-8.625,#001219,0,51
1464,3.1875,3.125,-7.25,#0B0A18,1,51
1474,3.1875,14.0,-20.125,#130328,1,51
1476,3.1875,15.625,5.375,#240000,0,51
1486,3.1875,87.5,-79.375,#26007D,0,51
1492,3.25,-9.375,-11.625,#00121D,0,52
1499,3.25,1.625,-9.375,#050B1A,1,52
1502,3.25,5.625,-0.375,#16080D,1,52
1517,3.25,21.5,5.5,#290000,0,52
1521,3.25,26.125,5.5,#2D0000,0,52
1533,3.25,103.375,-89.0,#31008D,0,52
1549,3.3125,0.5,0.625,#0E0C0B,1,53
1552,3.3125,2.875,0.0,#120A0C,1,53
1556,3.3125,4.0,-2.125,#120910,1,53
1559,3.3125,6.0,-8.375,#110819,1,53
1570,3.3125,28.875,-45.5,#00004B,0,53
1575,3.3125,37.125,-15.875,#300023,0,53
1583,3.3125,96.125,-84.75,#2C0086,0,53
1585,3.375,-14.375,2.125,#001406,0,54
1587,3.375,-8.5,-14.375,#001221,0,54
1590,3.375,-7.0,-16.75,#001224,0,54
1602,3.375,4.75,5.75,#190800,0,54
1626,3.375,46.75,-46.0,#20004C,0,54
1629,3.375,91.875,-72.375,#3D0073,0,54
1639,3.4375,2.125,5.75,#150A00,0,55
1645,3.4375,9.125,-22.0,#05082B,1,55
1650,3.4375,12.125,-35.625,#00093D,0,55
1651,3.4375,13.875,-23.875,#0D052E,1,55
1658,3.4375,27.875,2.125,#2E0009,0,55
1662,3.4375,34.5,-8.375,#30001A,0,55
1677,3.5,0.0,-13.375,#000E20,0,56
1687,3.5,17.625,-18.5,#1A0127,1,56
1689,3.5,20.5,-22.0,#1A002B,0,56
1693,3.5,34.25,-49.0,#000050,0,56
1695,3.5,37.25,-42.25,#170047,0,56
1699,3.5,49.875,-58.125,#03005E,0,56
1724,3.5625,8.0,-5.5,#170716,1,57
1733,3.5625,19.25,-30.5,#0B0237,1,57
1738,3.5625,31.125,-37.5,#150040,0,57
1754,3.625,-2.75,-1.375,#040F10,1,58
1756,3.625,-1.875,-24.375,#00102E,0,58
1762,3.625,4.375,-6.125,#100A17,1,58
1766,3.625,10.0,-7.875,#180619,1,58
1774,3.625,33.5,-32.5,#20003A,0,58
1777,3.625,43.375,-54.625,#000059,0,58
1780,3.625,53.5,-50.25,#250053,0,58
1795,3.6875,-0.75,-0.25,#0B0E0E,1,59
1800,3.6875,4.75,-14.25,#080B21,1,59
1822,3.6875,56.375,-62.25,#090064,0,59
1826,3.75,-15.375,5.25,#001500,0,60
1852,3.75,8.375,0.875,#1B070C,1,60
1855,3.75,10.375,-11.0,#17071E,1,60
1858,3.75,14.375,-17.0,#170425,1,60
1859,3.75,14.625,-3.0,#200313,1,60
1878,3.75,83.5,-63.75,#3E0067,0,60
1879,3.75,98.125,-77.125,#40007B,0,60
1880,3.75,105.875,-82.0,#450083,0,60
1882,3.75,126.5,-104.0,#3E00A6,0,60
1885,3.8125,-15.625,-0.875,#00160F,0,61
1886,3.8125,-13.875,-6.5,#001517,0,61
1887,3.8125,-12.875,-9.125,#00151B,0,61
1899,3.8125,-1.75,-4.875,#040F16,1,61
1903,3.8125,3.625,-30.25,#000F37,0,61
1914,3.8125,31.75,-2.0,#310012,0,61
1925,3.875,-15.125,-3.5,#001613,0,62
1927,3.875,-12.0,-11.625,#00151E,0,62
1930,3.875,-5.625,-21.375,#00132B,0,62
1937,3.875,3.125,-12.0,#080D1F,1,62
1941,3.875,6.5,-18.125,#070B27,1,62
1942,3.875,7.25,6.625,#1D0800,0,62
1956,3.875,45.5,-24.625,#350030,0,62
1959,3.875,62.625,-56.875,#29005D,0,62
1965,3.9375,-9.5,6.5,#001300,0,63
1968,3.9375,-1.75,-9.875,#00101C,0,63
1980,3.9375,15.5,-9.5,#1E031C,1,63
2013,4.0,1.75,-15.5,#000E24,0,64
2018,4.0,3.625,-17.25,#010D26,1,64
2030,4.0,13.75,-29.125,#010836,1,64
2052,4.0625,-17.375,3.375,#001706,0,65
2056,4.0625,-7.125,6.75,#041200,0,65
2059,4.0625,0.125,-3.625,#0B0E14,1,65
2060,4.0625,0.25,6.625,#140E00,0,65
2072,4.0625,9.375,6.875,#200700,0,65
2084,4.0625,51.125,-30.625,#370038,0,65
2114,4.125,13.625,6.75,#240400,0,66
2121,4.125,20.75,-4.125,#260016,0,66
2140,4.125,117.25,-99.0,#38009F,0,66
2146,4.1875,-4.5,7.125,#0C1100,0,67
2165,4.1875,18.5,-41.25,#000847,0,67
2170,4.1875,25.25,-45.125,#00044C,0,67
2176,4.1875,31.5,7.125,#340000,0,67
2181,4.1875,39.25,-10.75,#35001F,0,67
2184,4.1875,56.25,-36.125,#390040,0,67
2185,4.1875,74.75,-55.0,#3E005B,0,67
2187,4.1875,112.375,-86.5,#49008B,0,67
2191,4.25,-10.375,-17.125,#001526,0,68
2198,4.25,-4.125,0.5,#05110E,1,68
2203,4.25,-1.625,6.625,#110F00,0,68
2231,4.25,32.875,3.25,#340009,0,68
2237,4.25,78.75,-67.125,#33006D,0,68
2249,4.3125,1.875,2.375,#140E0A,1,69
2253,4.3125,6.375,-22.25,#000D2D,0,69
2260,4.3125,10.375,-0.875,#1E0811,1,69
2268,4.3125,23.875,-20.125,#21002B,0,69
2269,4.3125,24.75,-17.0,#240027,0,69
2270,4.3125,26.125,-24.375,#200030,0,69
2274,4.3125,35.375,0.25,#350010,0,69
2275,4.3125,37.75,-5.625,#360019,0,69
2279,4.3125,43.75,-18.125,#370028,0,69
2289,4.375,-8.875,-19.75,#00152A,0,70
2301,4.375,4.0,1.5,#170D0C,1,70
2324,4.375,33.875,-27.25,#270034,0,70
2329,4.375,62.125,-67.0,#0B006D,0,70
2330,4.375,73.125,-64.5,#2F006A,0,70
2333,4.4375,-18.625,0.875,#00180D,0,71
2346,4.4375,2.75,-21.25,#00102C,0,71
2355,4.4375,12.625,-13.875,#190823,1,71
2359,4.4375,20.25,-11.625,#230120,1,71
2361,4.4375,24.5,-12.25,#270021,0,71
2362,4.4375,29.0,-22.5,#26002E,0,71
2375,4.4375,84.75,-73.875,#320078,0,71
2378,4.5,-18.25,6.5,#001800,0,72
2379,4.5,-18.0,-2.625,#001813,0,72
2383,4.5,-13.0,7.5,#001600,0,72
2397,4.5,0.375,-10.375,#05101E,1,72
2410,4.5,17.125,1.25,#26030E,1,72
2413,4.5,18.5,7.75,#290100,0,72
2421,4.5,28.25,-39.5,#0A0045,1,72
2427,4.5,69.125,-71.25,#130074,0,72
2432,4.5,120.5,-92.375,#4E0095,0,72
2438,4.5625,-17.25,-5.875,#001818,0,73
2440,4.5625,-16.25,-8.625,#00181C,0,73
2446,4.5625,-6.625,-0.625,#001311,0,73
2450,4.5625,-4.25,-4.375,#011216,1,73
2453,4.5625,-1.0,-15.875,#001125,0,73
2494,4.625,-15.25,-11.375,#00181F,0,74
2497,4.625,-3.5,-7.75,#00121B,0,74
2513,4.625,12.5,1.625,#21070D,1,74
2515,4.625,17.375,-4.875,#240418,1,74
2542,4.6875,-4.375,-26.0,#001533,0,75
2545,4.6875,-2.375,2.5,#0D110B,1,75
2552,4.6875,6.125,2.375,#1B0C0C,1,75
2554,4.6875,6.375,-11.625,#120D20,1,75
2559,4.6875,10.5,-37.375,#000F43,0,75
2560,4.6875,10.625,-28.375,#000D36,0,75
2566,4.6875,15.75,-14.0,#1D0623,1,75
2586,4.75,-13.875,-14.875,#001824,0,76
2591,4.75,-7.125,2.5,#02140B,1,76
2598,4.75,4.0,8.125,#1B0D00,0,76
2601,4.75,6.75,-2.375,#190C14,1,76
2605,4.75,10.75,-17.375,#130B28,1,76
2615,4.75,22.875,8.125,#2E0000,0,76
2617,4.75,25.625,-6.75,#2B001A,0,76
2628,4.75,34.875,-44.125,#0F004C,0,76
2630,4.75,37.875,-32.75,#28003D,0,76
2631,4.75,38.25,-53.75,#00005A,0,76
2632,4.75,42.25,-37.875,#280044,0,76
2651,4.8125,-6.25,-3.125,#001415,0,77
2662,4.8125,1.625,-31.5,#00133B,0,77
2680,4.8125,22.0,-34.875,#07063F,1,77
2686,4.8125,42.25,-49.375,#130054,0,77
2694,4.875,-20.875,4.375,#001A06,0,78
2720,4.875,10.375,2.75,#20090B,1,78
2725,4.875,20.25,-25.125,#180532,1,78
2726,4.875,21.25,-7.625,#27011C,1,78
2742,4.875,65.875,-44.875,#3F004E,0,78
2758,4.9375,-0.875,2.0,#11110D,1,79
2768,4.9375,5.75,-26.0,#001033,0,79
2769,4.9375,6.375,8.375,#1F0C00,0,79
2774,4.9375,10.875,-21.25,#0E0C2D,1,79
2793,4.9375,50.5,-54.125,#1A005B,0,79
2794,4.9375,67.0,-62.25,#2A0068,0,79
2796,4.9375,80.625,-78.75,#1C0081,0,79
2802,5.0,-10.375,0.25,#001610,0,80
2804,5.0,-7.875,-23.75,#001730,0,80
2809,5.0,-5.125,-6.75,#00141A,0,80
2810,5.0,-4.5,-1.875,#041314,1,80
2819,5.0,1.625,7.75,#190F00,0,80
2821,5.0,2.125,-2.875,#121015,1,80
2833,5.0,24.625,-30.125,#180339,1,80
2838,5.0,47.875,-41.25,#2C0049,0,80
2906,5.125,0.375,-1.5,#111114,1,82
2927,5.125,28.125,8.75,#330000,0,82
2944,5.1875,-5.0,-17.5,#001529,0,83
2948,5.1875,-0.75,8.875,#161100,0,83
2956,5.1875,8.0,-17.125,#0F0E28,1,83
2963,5.1875,23.75,0.0,#2C0012,0,83
2973,5.1875,36.625,-22.75,#2F0030,0,83
2977,5.1875,43.75,-14.125,#3B0025,0,83
2983,5.1875,124.375,-98.0,#4D00A0,0,83
2984,5.25,-21.75,-0.125,#001B11,0,84
2987,5.25,-11.125,8.875,#001600,0,84
2994,5.25,-4.75,-10.375,#00151F,0,84
2999,5.25,-2.375,9.0,#141200,0,84
3016,5.25,11.875,-25.0,#080D33,1,84
3028,5.25,31.375,-50.75,#000357,0,84
3041,5.25,56.375,-46.75,#320052,0,84
3045,5.25,106.125,-94.25,#30009A,0,84
3047,5.3125,-21.625,7.625,#001B00,0,85
3048,5.3125,-20.625,-5.125,#001B18,0,85
3051,5.3125,-13.625,-18.5,#00192A,0,85
3053,5.3125,-11.625,-20.875,#00192D,0,85
3054,5.3125,-8.75,-2.125,#001615,0,85
3056,5.3125,-8.75,9.0,#071500,0,85
3057,5.3125,-6.375,9.125,#0D1400,0,85
3070,5.3125,3.875,-10.125,#10101F,1,85
3076,5.3125,10.875,9.125,#240A00,0,85
3081,5.3125,20.125,-37.0,#000A44,0,85
3082,5.3125,20.375,3.25,#2B030C,1,85
3090,5.3125,28.25,-28.625,#200038,0,85
3094,5.3125,38.875,4.25,#3B000B,0,85
3095,5.3125,40.625,-2.125,#3B0016,0,85
3104,5.3125,57.125,-56.75,#230060,0,85
3105,5.3125,62.125,-38.875,#400047,0,85
3113,5.375,-19.875,-8.0,#001B1C,0,86
3122,5.375,-2.875,-13.0,#001423,0,86
3127,5.375,0.5,2.75,#15110D,1,86
3140,5.375,6.5,-6.5,#170F1B,1,86
3146,5.375,9.125,-13.5,#150E24,1,86
3158,5.375,16.375,9.25,#290600,0,86
3159,5.375,16.625,-20.625,#19092D,1,86
3160,5.375,17.625,-8.125,#24061D,1,86
3170,5.375,30.375,-19.375,#2B002C,0,86
3175,5.375,47.625,-60.5,#000066,0,86
3180,5.375,90.125,-85.0,#24008C,0,86
3195,5.4375,-0.875,-7.625,#09131C,1,87
3208,5.4375,15.25,-33.125,#000D3E,0,87
3211,5.4375,18.0,-1.875,#270615,1,87
3226,5.4375,51.0,-25.25,#3D0034,0,87
3237,5.5,-19.0,-11.0,#001B20,0,88
3240,5.5,-15.625,9.25,#001900,0,88
3246,5.5,-7.125,-5.625,#00161A,0,88
3255,5.5,2.125,-7.75,#0F111D,1,88
3261,5.5,6.75,-36.75,#001344,0,88
3263,5.5,8.125,3.375,#1F0D0C,1,88
3270,5.5,14.625,-0.375,#240913,1,88
3282,5.5,78.75,-60.0,#410066,0,88
3293,5.5625,-9.625,-6.625,#00171B,0,89
3294,5.5625,-8.25,-8.875,#00171E,0,89
3301,5.5625,-4.0,3.25,#0D140C,1,89
3316,5.5625,14.5,-6.75,#210A1C,1,89
3318,5.5625,17.875,-27.125,#120A37,1,89
3329,5.5625,32.25,-15.875,#2F0028,0,89
3333,5.5625,37.875,8.625,#3C0001,0,89
3335,5.5625,41.875,-42.625,#23004C,0,89
3336,5.5625,42.875,-7.875,#3D001E,0,89
3343,5.625,-17.875,-14.0,#001B25,0,90
3355,5.625,-2.125,0.125,#0F1312,1,90
3358,5.625,0.625,-18.625,#00142B,0,90
3360,5.625,1.625,-12.5,#081223,1,90
3363,5.625,3.125,4.125,#1A100B,1,90
3368,5.625,8.75,9.625,#230D00,0,90
3376,5.625,13.375,4.125,#250A0B,1,90
3392,5.625,57.875,-32.0,#41003E,0,90
3394,5.625,58.875,-52.375,#2F005B,0,90
3396,5.625,73.125,-75.625,#12007E,0,90
3398,5.6875,-24.25,3.75,#001C0B,0,91
3407,5.6875,-11.0,3.25,#00170C,0,91
3408,5.6875,-10.625,-13.5,#001824,0,91
3414,5.6875,-2.125,-3.0,#0C1417,1,91
3417,5.6875,0.625,-5.75,#0F131A,1,91
3420,5.6875,2.25,-24.25,#001433,0,91
3429,5.6875,12.625,-9.5,#1E0C1F,1,91
3430,5.6875,12.625,-3.625,#210B18,1,91
3436,5.6875,25.375,-3.375,#2E0018,0,91
3446,5.6875,99.375,-91.0,#2A0096,0,91
3464,5.75,1.5,0.25,#151212,1,92
3475,5.75,8.5,-9.375,#190F1F,1,92
3476,5.75,11.25,5.5,#230C08,1,92
3502,5.75,48.0,-32.875,#36003F,0,92
3516,5.8125,-6.375,-13.625,#001725,0,93
3533,5.8125,9.75,-31.25,#00113D,0,93
3541,5.8125,17.5,-43.625,#000F4E,0,93
3550,5.8125,31.625,-10.75,#320022,0,93
3552,5.8125,33.25,-35.625,#200043,0,93
3560,5.8125,56.25,-66.125,#000070,0,93
3576,5.875,-1.875,-20.75,#00162E,0,94
3599,5.875,17.125,-30.75,#080C3C,1,94
3602,5.875,20.625,-15.375,#240628,1,94
3606,5.875,24.0,-47.5,#000B54,0,94
3619,5.875,36.625,-13.125,#360025,0,94
3648,5.9375,-5.75,4.0,#0B160C,1,95
3670,5.9375,8.875,-3.0,#1D0E18,1,95
3688,5.9375,42.0,-30.5,#31003C,0,95
3693,5.9375,65.5,-53.875,#37005E,0,95
3700,5.9375,89.625,-66.375,#490071,0,95
3713,6.0,0.5,10.25,#1A1200,0,96
3715,6.0,3.0,10.125,#1D1100,0,96
3738,6.0,75.0,-70.125,#2C0076,0,96
3739,6.0,91.25,-77.625,#3B0082,0,96
3743,6.0625,-25.5,7.375,#001D03,0,97
3744,6.0625,-25.375,1.0,#001E11,0,97
3745,6.0625,-24.625,-2.375,#001D16,0,97
3746,6.0625,-19.75,10.0,#001B00,0,97
3751,6.0625,-13.875,0.5,#001912,0,97
3756,6.0625,-7.875,5.0,#07170A,1,97
3758,6.0625,-6.125,-28.875,#00193A,0,97
3762,6.0625,-4.5,10.25,#131500,0,97
3775,6.0625,3.75,-4.375,#161219,1,97
3782,6.0625,6.625,4.625,#1F100B,1,97
3787,6.0625,17.5,5.125,#2A070A,1,97
3788,6.0625,17.625,-12.5,#220924,1,97
3803,6.0625,49.75,-16.625,#41002A,0,97
3805,6.0625,70.625,-58.375,#390065,0,97
3815,6.125,-12.5,-1.875,#001916,0,98
3831,6.125,-1.0,-32.875,#001740,0,98
3845,6.125,13.375,10.375,#280B00,0,98
3861,6.125,34.0,10.375,#3A0000,0,98
3868,6.125,71.5,-47.125,#460055,0,98
3871,6.125,96.625,-71.375,#4D0079,0,98
3872,6.125,114.125,-92.0,#490099,0,98
3876,6.1875,-16.75,-18.875,#001C2C,0,99
3880,6.1875,-11.25,-4.5,#00191A,0,99
3890,6.1875,3.25,-1.125,#181215,1,99
3907,6.1875,27.25,-42.0,#00074D,1,99
3908,6.1875,27.25,-15.5,#2B0029,1,99
3910,6.1875,30.125,-7.125,#32001E,0,99
3914,6.1875,40.875,-21.625,#370031,0,99
3925,6.25,-24.375,-5.5,#001E1B,0,100
3943,6.25,5.25,-8.75,#151220,1,100
3953,6.25,20.75,10.75,#2F0400,0,100
3957,6.25,23.75,-33.125,#140840,1,100
3959,6.25,25.75,10.625,#330000,0,100
3974,6.25,51.125,-38.5,#360048,0,100
3975,6.25,57.125,-42.25,#3A004E,0,100
3978,6.25,98.125,-81.875,#400089,0,100
3982,6.3125,-23.5,-8.5,#001E1F,0,101
3989,6.3125,-14.25,3.625,#001A0D,0,101
3991,6.3125,-6.875,-10.75,#001822,0,101
4000,6.3125,-0.875,4.625,#16140C,1,101
4007,6.3125,4.75,3.375,#1C110E,1,101
4009,6.3125,6.5,0.375,#1D1114,1,101
